# Registry dump
# Registry: minecraft:item
# Minecraft: 1.21.1
# Entries: 14351
# Generated: 2026-06-14T13:45:01.2298569+08:00

amendments:dragon_charge raw_id=8533 class=net.mehvahdjukaar.amendments.common.item.DragonChargeItem
create:waxed_copper_tile_slab raw_id=11969 class=net.minecraft.world.item.BlockItem
create:waxed_copper_tile_stairs raw_id=11973 class=net.minecraft.world.item.BlockItem
create:waxed_copper_tiles raw_id=11965 class=net.minecraft.world.item.BlockItem
create:waxed_exposed_copper_shingle_slab raw_id=11946 class=net.minecraft.world.item.BlockItem
create:waxed_exposed_copper_shingle_stairs raw_id=11950 class=net.minecraft.world.item.BlockItem
create:waxed_exposed_copper_shingles raw_id=11942 class=net.minecraft.world.item.BlockItem
create:waxed_exposed_copper_tile_slab raw_id=11970 class=net.minecraft.world.item.BlockItem
create:waxed_exposed_copper_tile_stairs raw_id=11974 class=net.minecraft.world.item.BlockItem
create:waxed_exposed_copper_tiles raw_id=11966 class=net.minecraft.world.item.BlockItem
create:waxed_oxidized_copper_shingle_slab raw_id=11948 class=net.minecraft.world.item.BlockItem
create:waxed_oxidized_copper_shingle_stairs raw_id=11952 class=net.minecraft.world.item.BlockItem
create:waxed_oxidized_copper_shingles raw_id=11944 class=net.minecraft.world.item.BlockItem
create:waxed_oxidized_copper_tile_slab raw_id=11972 class=net.minecraft.world.item.BlockItem
create:waxed_oxidized_copper_tile_stairs raw_id=11976 class=net.minecraft.world.item.BlockItem
create:waxed_oxidized_copper_tiles raw_id=11968 class=net.minecraft.world.item.BlockItem
create:waxed_weathered_copper_shingle_slab raw_id=11947 class=net.minecraft.world.item.BlockItem
create:waxed_weathered_copper_shingle_stairs raw_id=11951 class=net.minecraft.world.item.BlockItem
create:waxed_weathered_copper_shingles raw_id=11943 class=net.minecraft.world.item.BlockItem
create:waxed_weathered_copper_tile_slab raw_id=11971 class=net.minecraft.world.item.BlockItem
create:waxed_weathered_copper_tile_stairs raw_id=11975 class=net.minecraft.world.item.BlockItem
create:waxed_weathered_copper_tiles raw_id=11967 class=net.minecraft.world.item.BlockItem
create:weathered_copper_shingle_slab raw_id=11935 class=net.minecraft.world.item.BlockItem
create:weathered_copper_shingle_stairs raw_id=11939 class=net.minecraft.world.item.BlockItem
create:weathered_copper_shingles raw_id=11931 class=net.minecraft.world.item.BlockItem
create:weathered_copper_tile_slab raw_id=11959 class=net.minecraft.world.item.BlockItem
create:weathered_copper_tile_stairs raw_id=11963 class=net.minecraft.world.item.BlockItem
create:weathered_copper_tiles raw_id=11955 class=net.minecraft.world.item.BlockItem
create:weathered_iron_block raw_id=11921 class=net.minecraft.world.item.BlockItem
create:weathered_iron_window raw_id=12000 class=net.minecraft.world.item.BlockItem
create:weathered_iron_window_pane raw_id=12014 class=net.minecraft.world.item.BlockItem
create:weighted_ejector raw_id=11717 class=com.simibubi.create.content.logistics.depot.EjectorItem
create:wheat_flour raw_id=11575 class=net.minecraft.world.item.Item
create:whisk raw_id=11583 class=net.minecraft.world.item.Item
create:white_postbox raw_id=11809 class=com.simibubi.create.content.logistics.packagePort.PackagePortItem
create:white_sail raw_id=11780 class=com.simibubi.create.content.contraptions.bearing.BlankSailBlockItem
create:white_seat raw_id=11892 class=net.minecraft.world.item.BlockItem
create:white_table_cloth raw_id=11829 class=com.simibubi.create.content.logistics.tableCloth.TableClothBlockItem
create:white_toolbox raw_id=11863 class=com.simibubi.create.foundation.item.UncontainableBlockItem
create:white_valve_handle raw_id=11729 class=net.minecraft.world.item.BlockItem
create:windmill_bearing raw_id=11758 class=net.minecraft.world.item.BlockItem
create:wooden_bracket raw_id=11722 class=com.simibubi.create.content.decoration.bracket.BracketBlockItem
create:wrench raw_id=11652 class=com.simibubi.create.content.equipment.wrench.WrenchItem
create:yellow_postbox raw_id=11813 class=com.simibubi.create.content.logistics.packagePort.PackagePortItem
create:yellow_seat raw_id=11896 class=net.minecraft.world.item.BlockItem
create:yellow_table_cloth raw_id=11833 class=com.simibubi.create.content.logistics.tableCloth.TableClothBlockItem
create:yellow_toolbox raw_id=11867 class=com.simibubi.create.foundation.item.UncontainableBlockItem
create:yellow_valve_handle raw_id=11733 class=net.minecraft.world.item.BlockItem
create:zinc_block raw_id=11918 class=net.minecraft.world.item.BlockItem
create:zinc_ingot raw_id=11605 class=net.minecraft.world.item.Item
create:zinc_nugget raw_id=11611 class=net.minecraft.world.item.Item
create:zinc_ore raw_id=11915 class=net.minecraft.world.item.BlockItem
create_bic_bit:aged_cheese raw_id=8866 class=com.simibubi.create.content.processing.AssemblyOperatorBlockItem
create_bic_bit:aged_cheese_wedge raw_id=8914 class=net.minecraft.world.item.Item
create_bic_bit:andesite_basket raw_id=8921 class=net.minecraft.world.item.Item
create_bic_bit:bitterballen raw_id=8888 class=net.minecraft.world.item.Item
create_bic_bit:cheese_souffle raw_id=8880 class=net.minecraft.world.item.Item
create_bic_bit:chocolate_glazed_stroopwafel raw_id=8875 class=net.minecraft.world.item.Item
create_bic_bit:churros raw_id=8904 class=net.minecraft.world.item.Item
create_bic_bit:coated_churros raw_id=8906 class=net.minecraft.world.item.Item
create_bic_bit:coated_oliebollen raw_id=8878 class=net.minecraft.world.item.Item
create_bic_bit:cooked_herring raw_id=8909 class=net.minecraft.world.item.Item
create_bic_bit:crushed_nether_wart raw_id=8915 class=net.minecraft.world.item.Item
create_bic_bit:crushed_sunflower_seeds raw_id=8918 class=net.minecraft.world.item.Item
create_bic_bit:crystallised_oil raw_id=8868 class=net.minecraft.world.item.BlockItem
create_bic_bit:curdled_milk_bucket raw_id=8859 class=net.minecraft.world.item.BucketItem
create_bic_bit:dirty_paper raw_id=8922 class=net.minecraft.world.item.Item
create_bic_bit:eggball raw_id=8890 class=net.minecraft.world.item.Item
create_bic_bit:enderball raw_id=8911 class=com.pyzpre.createbitterballen.item.EnderballItem
create_bic_bit:fries raw_id=8898 class=net.minecraft.world.item.Item
create_bic_bit:frikandel raw_id=8892 class=net.minecraft.world.item.Item
create_bic_bit:frikandel_sandwich raw_id=8893 class=net.minecraft.world.item.Item
create_bic_bit:frying_oil_bottle raw_id=8920 class=com.pyzpre.createbitterballen.item.FryingOilBottleItem
create_bic_bit:frying_oil_bucket raw_id=8856 class=net.minecraft.world.item.BucketItem
create_bic_bit:herring_bucket raw_id=8924 class=net.minecraft.world.item.MobBucketItem
create_bic_bit:herring_spawn_egg raw_id=8923 class=net.neoforged.neoforge.common.DeferredSpawnEggItem
create_bic_bit:ketchup_bottle raw_id=8916 class=com.pyzpre.createbitterballen.item.BottleItem
create_bic_bit:ketchup_bucket raw_id=8857 class=net.minecraft.world.item.BucketItem
create_bic_bit:ketchup_topped_frikandel_sandwich raw_id=8894 class=com.pyzpre.createbitterballen.item.KetchupItem
create_bic_bit:ketchup_topped_kroket_sandwich raw_id=8884 class=com.pyzpre.createbitterballen.item.KetchupItem
create_bic_bit:kroket raw_id=8882 class=net.minecraft.world.item.Item
create_bic_bit:kroket_sandwich raw_id=8883 class=net.minecraft.world.item.Item
create_bic_bit:kruidnoten raw_id=8870 class=net.minecraft.world.item.Item
create_bic_bit:mayonnaise_bottle raw_id=8917 class=com.pyzpre.createbitterballen.item.BottleItem
create_bic_bit:mayonnaise_bucket raw_id=8858 class=net.minecraft.world.item.BucketItem
create_bic_bit:mayonnaise_ketchup_topped_frikandel_sandwich raw_id=8896 class=com.pyzpre.createbitterballen.item.KetchupMayoItem
create_bic_bit:mayonnaise_ketchup_topped_kroket_sandwich raw_id=8886 class=com.pyzpre.createbitterballen.item.KetchupMayoItem
create_bic_bit:mayonnaise_topped_frikandel_sandwich raw_id=8895 class=com.pyzpre.createbitterballen.item.MayoItem
create_bic_bit:mayonnaise_topped_kroket_sandwich raw_id=8885 class=com.pyzpre.createbitterballen.item.MayoItem
create_bic_bit:mechanical_fryer raw_id=8860 class=com.simibubi.create.content.processing.AssemblyOperatorBlockItem
create_bic_bit:oliebollen raw_id=8877 class=net.minecraft.world.item.Item
create_bic_bit:raw_bitterballen raw_id=8887 class=net.minecraft.world.item.Item
create_bic_bit:raw_cheese_souffle raw_id=8879 class=net.minecraft.world.item.Item
create_bic_bit:raw_churros raw_id=8903 class=net.minecraft.world.item.Item
create_bic_bit:raw_eggball raw_id=8889 class=net.minecraft.world.item.Item
create_bic_bit:raw_fries raw_id=8897 class=net.minecraft.world.item.Item
create_bic_bit:raw_frikandel raw_id=8891 class=net.minecraft.world.item.Item
create_bic_bit:raw_herring raw_id=8908 class=net.minecraft.world.item.Item
create_bic_bit:raw_kroket raw_id=8881 class=net.minecraft.world.item.Item
create_bic_bit:roasted_sunflower_seeds raw_id=8919 class=com.pyzpre.createbitterballen.item.RoastedSunflowerSeedsItem
create_bic_bit:speculaas raw_id=8871 class=net.minecraft.world.item.Item
create_bic_bit:stamppot_bowl raw_id=8910 class=com.pyzpre.createbitterballen.item.BowlItem
create_bic_bit:stroopwafel raw_id=8873 class=net.minecraft.world.item.Item
create_bic_bit:sunflower_seeds raw_id=8861 class=net.minecraft.world.item.BlockItem
create_bic_bit:sweet_dough raw_id=8869 class=net.minecraft.world.item.Item
create_bic_bit:unbaked_stroopwafel raw_id=8872 class=net.minecraft.world.item.Item
create_bic_bit:unripe_cheese raw_id=8862 class=com.simibubi.create.content.processing.AssemblyOperatorBlockItem
create_bic_bit:unripe_cheese_wedge raw_id=8912 class=net.minecraft.world.item.Item
create_bic_bit:waxed_aged_cheese raw_id=8867 class=com.simibubi.create.content.processing.AssemblyOperatorBlockItem
create_bic_bit:waxed_unripe_cheese raw_id=8863 class=com.simibubi.create.content.processing.AssemblyOperatorBlockItem
create_bic_bit:waxed_young_cheese raw_id=8865 class=com.simibubi.create.content.processing.AssemblyOperatorBlockItem
create_bic_bit:wrapped_chocolate_glazed_stroopwafel raw_id=8876 class=com.pyzpre.createbitterballen.item.wrapped.WrappedItem
create_bic_bit:wrapped_churros raw_id=8905 class=com.pyzpre.createbitterballen.item.wrapped.WrappedItem
create_bic_bit:wrapped_coated_churros raw_id=8907 class=com.pyzpre.createbitterballen.item.wrapped.WrappedItem
create_bic_bit:wrapped_fries raw_id=8899 class=com.pyzpre.createbitterballen.item.wrapped.WrappedItem
create_bic_bit:wrapped_ketchup_topped_fries raw_id=8900 class=com.pyzpre.createbitterballen.item.wrapped.WrappedKetchupItem
create_bic_bit:wrapped_mayonnaise_ketchup_topped_fries raw_id=8902 class=com.pyzpre.createbitterballen.item.wrapped.WrappedKetchupMayoItem
create_bic_bit:wrapped_mayonnaise_topped_fries raw_id=8901 class=com.pyzpre.createbitterballen.item.wrapped.WrappedMayoItem
create_bic_bit:wrapped_stroopwafel raw_id=8874 class=com.pyzpre.createbitterballen.item.wrapped.WrappedItem
create_bic_bit:young_cheese raw_id=8864 class=com.simibubi.create.content.processing.AssemblyOperatorBlockItem
create_bic_bit:young_cheese_wedge raw_id=8913 class=net.minecraft.world.item.Item
create_compressed:belt_block raw_id=4472 class=net.minecraft.world.item.BlockItem
create_compressed:brass_sheet_block raw_id=4463 class=net.minecraft.world.item.BlockItem
create_compressed:cinder_flour_pile raw_id=4469 class=net.minecraft.world.item.BlockItem
create_compressed:cogwheel_block raw_id=4470 class=net.minecraft.world.item.BlockItem
create_compressed:copper_sheet_block raw_id=4460 class=net.minecraft.world.item.BlockItem
create_compressed:crushed_aluminum_pile raw_id=4485 class=net.minecraft.world.item.BlockItem
create_compressed:crushed_copper_pile raw_id=4456 class=net.minecraft.world.item.BlockItem
create_compressed:crushed_gold_pile raw_id=4458 class=net.minecraft.world.item.BlockItem
create_compressed:crushed_iron_pile raw_id=4457 class=net.minecraft.world.item.BlockItem
create_compressed:crushed_lead_pile raw_id=4476 class=net.minecraft.world.item.BlockItem
create_compressed:crushed_nickel_pile raw_id=4477 class=net.minecraft.world.item.BlockItem
create_compressed:crushed_osmium_pile raw_id=4478 class=net.minecraft.world.item.BlockItem
create_compressed:crushed_platinum_pile raw_id=4484 class=net.minecraft.world.item.BlockItem
create_compressed:crushed_quicksilver_pile raw_id=4479 class=net.minecraft.world.item.BlockItem
create_compressed:crushed_silver_pile raw_id=4480 class=net.minecraft.world.item.BlockItem
create_compressed:crushed_tin_pile raw_id=4481 class=net.minecraft.world.item.BlockItem
create_compressed:crushed_uranium_pile raw_id=4482 class=net.minecraft.world.item.BlockItem
create_compressed:crushed_zinc_pile raw_id=4459 class=net.minecraft.world.item.BlockItem
create_compressed:dough_block raw_id=4473 class=net.minecraft.world.item.BlockItem
create_compressed:gold_sheet_block raw_id=4462 class=net.minecraft.world.item.BlockItem
create_compressed:iron_sheet_block raw_id=4461 class=net.minecraft.world.item.BlockItem
create_compressed:large_cogwheel_block raw_id=4471 class=net.minecraft.world.item.BlockItem
create_compressed:mechanism_block raw_id=4466 class=net.minecraft.world.item.BlockItem
create_compressed:powdered_obsidian_pile raw_id=4467 class=net.minecraft.world.item.BlockItem
create_compressed:pulp_block raw_id=4483 class=net.minecraft.world.item.BlockItem
create_compressed:rose_quartz_crystal_block raw_id=4474 class=net.minecraft.world.item.BlockItem
create_compressed:rose_quartz_polished_block raw_id=4475 class=net.minecraft.world.item.BlockItem
create_compressed:shaft_bundle raw_id=4464 class=net.minecraft.world.item.BlockItem
create_compressed:sturdy_sheet_block raw_id=4465 class=net.minecraft.world.item.BlockItem
create_compressed:wheat_flour_pile raw_id=4468 class=net.minecraft.world.item.BlockItem
create_connected:andesite_encased_cross_connector raw_id=7078 class=net.minecraft.world.item.BlockItem
create_connected:black_fan_dyeing_catalyst raw_id=7127 class=net.minecraft.world.item.BlockItem
create_connected:blue_fan_dyeing_catalyst raw_id=7123 class=net.minecraft.world.item.BlockItem
create_connected:brake raw_id=7088 class=net.minecraft.world.item.BlockItem
create_connected:brass_chute raw_id=7133 class=com.simibubi.create.content.logistics.chute.ChuteItem
create_connected:brass_encased_cross_connector raw_id=7079 class=net.minecraft.world.item.BlockItem
create_connected:brass_gearbox raw_id=7087 class=net.minecraft.world.item.BlockItem
create_connected:brown_fan_dyeing_catalyst raw_id=7124 class=net.minecraft.world.item.BlockItem
create_connected:centrifugal_clutch raw_id=7084 class=net.minecraft.world.item.BlockItem
create_connected:charged_kinetic_battery raw_id=7150 class=com.hlysine.create_connected.content.kineticbattery.ChargedKineticBatteryItem
create_connected:control_chip raw_id=7144 class=net.minecraft.world.item.Item
create_connected:copycat_beam raw_id=7137 class=net.minecraft.world.item.BlockItem
create_connected:copycat_block raw_id=7136 class=net.minecraft.world.item.BlockItem
create_connected:copycat_board raw_id=7143 class=net.minecraft.world.item.BlockItem
create_connected:copycat_box raw_id=7152 class=com.hlysine.create_connected.content.copycat.board.CopycatBoxItem
create_connected:copycat_catwalk raw_id=7153 class=com.hlysine.create_connected.content.copycat.board.CopycatCatwalkItem
create_connected:copycat_fence raw_id=7140 class=net.minecraft.world.item.BlockItem
create_connected:copycat_fence_gate raw_id=7142 class=net.minecraft.world.item.BlockItem
create_connected:copycat_slab raw_id=7135 class=net.minecraft.world.item.BlockItem
create_connected:copycat_stairs raw_id=7139 class=net.minecraft.world.item.BlockItem
create_connected:copycat_vertical_step raw_id=7138 class=net.minecraft.world.item.BlockItem
create_connected:copycat_wall raw_id=7141 class=net.minecraft.world.item.BlockItem
create_connected:crank_wheel raw_id=7073 class=net.minecraft.world.item.BlockItem
create_connected:creative_fluid_vessel raw_id=7130 class=com.hlysine.create_connected.content.fluidvessel.FluidVesselItem
create_connected:cross_connector raw_id=7077 class=net.minecraft.world.item.BlockItem
create_connected:cyan_fan_dyeing_catalyst raw_id=7121 class=net.minecraft.world.item.BlockItem
create_connected:dashboard raw_id=7134 class=net.minecraft.world.item.BlockItem
create_connected:empty_fan_catalyst raw_id=7091 class=net.minecraft.world.item.BlockItem
create_connected:encased_chain_cogwheel raw_id=7072 class=net.minecraft.world.item.BlockItem
create_connected:fan_blasting_catalyst raw_id=7092 class=net.minecraft.world.item.BlockItem
create_connected:fan_chocolate_coating_catalyst raw_id=7103 class=net.minecraft.world.item.BlockItem
create_connected:fan_ending_catalyst_dragon_head raw_id=7101 class=net.minecraft.world.item.BlockItem
create_connected:fan_ending_catalyst_dragons_breath raw_id=7100 class=net.minecraft.world.item.BlockItem
create_connected:fan_enriched_catalyst raw_id=7099 class=net.minecraft.world.item.BlockItem
create_connected:fan_exploding_catalyst raw_id=7105 class=net.minecraft.world.item.BlockItem
create_connected:fan_freezing_catalyst raw_id=7096 class=net.minecraft.world.item.BlockItem
create_connected:fan_glooming_catalyst raw_id=7110 class=net.minecraft.world.item.BlockItem
create_connected:fan_haunting_catalyst raw_id=7095 class=net.minecraft.world.item.BlockItem
create_connected:fan_honey_coating_catalyst raw_id=7104 class=net.minecraft.world.item.BlockItem
create_connected:fan_purifying_catalyst raw_id=7108 class=net.minecraft.world.item.BlockItem
create_connected:fan_resonance_catalyst raw_id=7106 class=net.minecraft.world.item.BlockItem
create_connected:fan_sanding_catalyst raw_id=7098 class=net.minecraft.world.item.BlockItem
create_connected:fan_sculking_catalyst raw_id=7107 class=net.minecraft.world.item.BlockItem
create_connected:fan_seething_catalyst raw_id=7097 class=net.minecraft.world.item.BlockItem
create_connected:fan_smoking_catalyst raw_id=7093 class=net.minecraft.world.item.BlockItem
create_connected:fan_soul_stripping_catalyst raw_id=7111 class=net.minecraft.world.item.BlockItem
create_connected:fan_splashing_catalyst raw_id=7094 class=net.minecraft.world.item.BlockItem
create_connected:fan_transmutation_catalyst raw_id=7109 class=net.minecraft.world.item.BlockItem
create_connected:fan_withering_catalyst raw_id=7102 class=net.minecraft.world.item.BlockItem
create_connected:fluid_vessel raw_id=7129 class=com.hlysine.create_connected.content.fluidvessel.FluidVesselItem
create_connected:freewheel_clutch raw_id=7085 class=net.minecraft.world.item.BlockItem
create_connected:gray_fan_dyeing_catalyst raw_id=7119 class=net.minecraft.world.item.BlockItem
create_connected:green_fan_dyeing_catalyst raw_id=7125 class=net.minecraft.world.item.BlockItem
create_connected:incomplete_control_chip raw_id=7145 class=com.simibubi.create.content.processing.sequenced.SequencedAssemblyItem
create_connected:inventory_access_port raw_id=7131 class=net.minecraft.world.item.BlockItem
create_connected:inventory_bridge raw_id=7132 class=net.minecraft.world.item.BlockItem
create_connected:inverted_clutch raw_id=7082 class=net.minecraft.world.item.BlockItem
create_connected:inverted_gearshift raw_id=7083 class=net.minecraft.world.item.BlockItem
create_connected:item_silo raw_id=7128 class=com.hlysine.create_connected.content.itemsilo.ItemSiloItem
create_connected:kinetic_battery raw_id=7089 class=net.minecraft.world.item.BlockItem
create_connected:kinetic_bridge raw_id=7086 class=com.hlysine.create_connected.content.kineticbridge.KineticBridgeBlockItem
create_connected:large_crank_wheel raw_id=7074 class=net.minecraft.world.item.BlockItem
create_connected:light_blue_fan_dyeing_catalyst raw_id=7115 class=net.minecraft.world.item.BlockItem
create_connected:light_gray_fan_dyeing_catalyst raw_id=7120 class=net.minecraft.world.item.BlockItem
create_connected:lime_fan_dyeing_catalyst raw_id=7117 class=net.minecraft.world.item.BlockItem
create_connected:linked_transmitter raw_id=7151 class=com.hlysine.create_connected.content.linkedtransmitter.LinkedTransmitterItem
create_connected:magenta_fan_dyeing_catalyst raw_id=7114 class=net.minecraft.world.item.BlockItem
create_connected:music_disc_elevator raw_id=7154 class=net.minecraft.world.item.Item
create_connected:music_disc_interlude raw_id=7155 class=net.minecraft.world.item.Item
create_connected:orange_fan_dyeing_catalyst raw_id=7113 class=net.minecraft.world.item.BlockItem
create_connected:overstress_clutch raw_id=7080 class=net.minecraft.world.item.BlockItem
create_connected:parallel_gearbox raw_id=7075 class=net.minecraft.world.item.BlockItem
create_connected:pink_fan_dyeing_catalyst raw_id=7118 class=net.minecraft.world.item.BlockItem
create_connected:purple_fan_dyeing_catalyst raw_id=7122 class=net.minecraft.world.item.BlockItem
create_connected:red_fan_dyeing_catalyst raw_id=7126 class=net.minecraft.world.item.BlockItem
create_connected:redstone_link_wildcard raw_id=7146 class=com.hlysine.create_connected.content.redstonelinkwildcard.RedstoneLinkWildcardItem
create_connected:sequenced_pulse_generator raw_id=7090 class=net.minecraft.world.item.BlockItem
create_connected:shear_pin raw_id=7081 class=net.minecraft.world.item.BlockItem
create_connected:six_way_gearbox raw_id=7076 class=net.minecraft.world.item.BlockItem
create_connected:vertical_brass_gearbox raw_id=7149 class=com.hlysine.create_connected.content.brassgearbox.VerticalBrassGearboxItem
create_connected:vertical_parallel_gearbox raw_id=7147 class=com.hlysine.create_connected.content.parallelgearbox.VerticalParallelGearboxItem
create_connected:vertical_six_way_gearbox raw_id=7148 class=com.hlysine.create_connected.content.sixwaygearbox.VerticalSixWayGearboxItem
create_connected:white_fan_dyeing_catalyst raw_id=7112 class=net.minecraft.world.item.BlockItem
create_connected:yellow_fan_dyeing_catalyst raw_id=7116 class=net.minecraft.world.item.BlockItem
create_dragons_plus:black_dye_bucket raw_id=13144 class=net.minecraft.world.item.BucketItem
create_dragons_plus:blaze_upgrade_smithing_template raw_id=13140 class=net.minecraft.world.item.SmithingTemplateItem
create_dragons_plus:blue_dye_bucket raw_id=13153 class=net.minecraft.world.item.BucketItem
create_dragons_plus:brown_dye_bucket raw_id=13145 class=net.minecraft.world.item.BucketItem
create_dragons_plus:cyan_dye_bucket raw_id=13151 class=net.minecraft.world.item.BucketItem
create_dragons_plus:dragon_breath_bucket raw_id=13157 class=net.minecraft.world.item.BucketItem
create_dragons_plus:fluid_hatch raw_id=13158 class=net.minecraft.world.item.BlockItem
create_dragons_plus:gray_dye_bucket raw_id=13143 class=net.minecraft.world.item.BucketItem
create_dragons_plus:green_dye_bucket raw_id=13150 class=net.minecraft.world.item.BucketItem
create_dragons_plus:light_blue_dye_bucket raw_id=13152 class=net.minecraft.world.item.BucketItem
create_dragons_plus:light_gray_dye_bucket raw_id=13142 class=net.minecraft.world.item.BucketItem
create_dragons_plus:lime_dye_bucket raw_id=13149 class=net.minecraft.world.item.BucketItem
create_dragons_plus:magenta_dye_bucket raw_id=13155 class=net.minecraft.world.item.BucketItem
create_dragons_plus:orange_dye_bucket raw_id=13147 class=net.minecraft.world.item.BucketItem
create_dragons_plus:pink_dye_bucket raw_id=13156 class=net.minecraft.world.item.BucketItem
create_dragons_plus:purple_dye_bucket raw_id=13154 class=net.minecraft.world.item.BucketItem
create_dragons_plus:rare_blaze_pacakge raw_id=13138 class=com.simibubi.create.content.logistics.box.PackageItem
create_dragons_plus:rare_marble_gate_pacakge raw_id=13139 class=com.simibubi.create.content.logistics.box.PackageItem
create_dragons_plus:red_dye_bucket raw_id=13146 class=net.minecraft.world.item.BucketItem
create_dragons_plus:white_dye_bucket raw_id=13141 class=net.minecraft.world.item.BucketItem
create_dragons_plus:yellow_dye_bucket raw_id=13148 class=net.minecraft.world.item.BucketItem
create_enchantment_industry:blaze_enchanter raw_id=13603 class=net.minecraft.world.item.BlockItem
create_enchantment_industry:blaze_forger raw_id=13604 class=net.minecraft.world.item.BlockItem
create_enchantment_industry:blazes_enchanting_handbook raw_id=13611 class=net.minecraft.world.item.Item
create_enchantment_industry:classic_blaze_enchanter raw_id=13605 class=net.minecraft.world.item.BlockItem
create_enchantment_industry:enchanting_template raw_id=13609 class=plus.dragons.createenchantmentindustry.common.processing.enchanter.EnchantingTemplateItem
create_enchantment_industry:experience_bucket raw_id=13598 class=net.minecraft.world.item.BucketItem
create_enchantment_industry:experience_cake raw_id=13613 class=net.minecraft.world.item.Item
create_enchantment_industry:experience_cake_base raw_id=13612 class=net.minecraft.world.item.Item
create_enchantment_industry:experience_cake_slice raw_id=13614 class=net.minecraft.world.item.Item
create_enchantment_industry:experience_hatch raw_id=13601 class=net.minecraft.world.item.BlockItem
create_enchantment_industry:experience_lantern raw_id=13607 class=net.minecraft.world.item.BlockItem
create_enchantment_industry:grindstone_drain raw_id=13600 class=net.minecraft.world.item.BlockItem
create_enchantment_industry:mechanical_grindstone raw_id=13599 class=plus.dragons.createenchantmentindustry.common.kinetics.grindstone.MechanicalGrindStoneItem
create_enchantment_industry:printer raw_id=13602 class=com.simibubi.create.content.processing.AssemblyOperatorBlockItem
create_enchantment_industry:super_enchanting_template raw_id=13610 class=plus.dragons.createenchantmentindustry.common.processing.enchanter.EnchantingTemplateItem
create_enchantment_industry:super_experience_block raw_id=13606 class=net.minecraft.world.item.BlockItem
create_enchantment_industry:super_experience_nugget raw_id=13608 class=com.simibubi.create.content.materials.ExperienceNuggetItem
create_integrated_farming:chicken_roost raw_id=12276 class=net.minecraft.world.item.BlockItem
create_integrated_farming:fishing_net raw_id=12274 class=net.minecraft.world.item.BlockItem
create_integrated_farming:roost raw_id=12275 class=plus.dragons.createintegratedfarming.common.ranching.roost.RoostBlockItem
create_pattern_schematics:empty_pattern_schematic raw_id=11505 class=net.minecraft.world.item.Item
create_pattern_schematics:pattern_schematic raw_id=11506 class=com.cak.pattern_schematics.content.item.PatternSchematicItem
create_pattern_schematics:pattern_schematic_and_quill raw_id=11507 class=com.simibubi.create.content.schematics.SchematicAndQuillItem
create_power_loader:andesite_chunk_loader raw_id=4799 class=net.minecraft.world.item.BlockItem
create_power_loader:brass_chunk_loader raw_id=4801 class=net.minecraft.world.item.BlockItem
create_power_loader:empty_andesite_chunk_loader raw_id=4798 class=com.hlysine.create_power_loader.content.emptychunkloader.EmptyChunkLoaderBlockItem
create_power_loader:empty_brass_chunk_loader raw_id=4800 class=com.hlysine.create_power_loader.content.emptychunkloader.EmptyChunkLoaderBlockItem
create_sa:andesite_exoskeleton_chestplate raw_id=11174 class=net.mcreator.createstuffadditions.item.AndesiteExoskeletonItem$Chestplate
create_sa:andesite_jetpack_chestplate raw_id=11171 class=net.mcreator.createstuffadditions.item.AndesiteJetpackItem$Chestplate
create_sa:blazing_axe raw_id=11209 class=net.mcreator.createstuffadditions.item.BlazingAxeItem
create_sa:blazing_cleaver raw_id=11210 class=net.mcreator.createstuffadditions.item.BlazingCleaverItem
create_sa:blazing_pickaxe raw_id=11207 class=net.mcreator.createstuffadditions.item.BlazingPickaxeItem
create_sa:blazing_shovel raw_id=11208 class=net.mcreator.createstuffadditions.item.BlazingShovelItem
create_sa:block_picker raw_id=11234 class=net.mcreator.createstuffadditions.item.BlockPickerItem
create_sa:brass_axe raw_id=11189 class=net.mcreator.createstuffadditions.item.BrassAxeItem
create_sa:brass_boots raw_id=11179 class=net.mcreator.createstuffadditions.item.BrassItem$Boots
create_sa:brass_chestplate raw_id=11177 class=net.mcreator.createstuffadditions.item.BrassItem$Chestplate
create_sa:brass_cube raw_id=11238 class=net.minecraft.world.item.BlockItem
create_sa:brass_drill_head raw_id=11214 class=net.mcreator.createstuffadditions.item.BrassDrillHeadItem
create_sa:brass_drone_item raw_id=11212 class=net.mcreator.createstuffadditions.item.BrassDroneItemItem
create_sa:brass_exoskeleton_chestplate raw_id=11173 class=net.mcreator.createstuffadditions.item.BrassExoskeletonItem$Chestplate
create_sa:brass_helmet raw_id=11176 class=net.mcreator.createstuffadditions.item.BrassItem$Helmet
create_sa:brass_hoe raw_id=11192 class=net.mcreator.createstuffadditions.item.BrassHoeItem
create_sa:brass_jetpack_chestplate raw_id=11170 class=net.mcreator.createstuffadditions.item.BrassJetpackItem$Chestplate
create_sa:brass_leggings raw_id=11178 class=net.mcreator.createstuffadditions.item.BrassItem$Leggings
create_sa:brass_pickaxe raw_id=11188 class=net.mcreator.createstuffadditions.item.BrassPickaxeItem
create_sa:brass_shovel raw_id=11191 class=net.mcreator.createstuffadditions.item.BrassShovelItem
create_sa:brass_sword raw_id=11190 class=net.mcreator.createstuffadditions.item.BrassSwordItem
create_sa:chains raw_id=11239 class=net.mcreator.createstuffadditions.item.ChainsItem
create_sa:copper_axe raw_id=11194 class=net.mcreator.createstuffadditions.item.CopperAxeItem
