# Registry dump
# Registry: minecraft:block
# Minecraft: 1.21.1
# Entries: 10760
# Generated: 2026-06-14T13:47:24.1922436+08:00

amendments:carpet_slab raw_id=6642 class=net.mehvahdjukaar.amendments.common.block.CarpetSlabBlock
createdeco:tiled_scarlet_bricks raw_id=1339 class=net.minecraft.world.level.block.Block
createdeco:tiled_umber_brick_slab raw_id=1325 class=net.minecraft.world.level.block.SlabBlock
createdeco:tiled_umber_brick_stairs raw_id=1318 class=net.minecraft.world.level.block.StairBlock
createdeco:tiled_umber_brick_wall raw_id=1332 class=net.minecraft.world.level.block.WallBlock
createdeco:tiled_umber_bricks raw_id=1311 class=net.minecraft.world.level.block.Block
createdeco:tiled_verdant_brick_slab raw_id=1437 class=net.minecraft.world.level.block.SlabBlock
createdeco:tiled_verdant_brick_stairs raw_id=1430 class=net.minecraft.world.level.block.StairBlock
createdeco:tiled_verdant_brick_wall raw_id=1444 class=net.minecraft.world.level.block.WallBlock
createdeco:tiled_verdant_bricks raw_id=1423 class=net.minecraft.world.level.block.Block
createdeco:umber_brick_slab raw_id=1323 class=net.minecraft.world.level.block.SlabBlock
createdeco:umber_brick_stairs raw_id=1316 class=net.minecraft.world.level.block.StairBlock
createdeco:umber_brick_wall raw_id=1330 class=net.minecraft.world.level.block.WallBlock
createdeco:umber_bricks raw_id=1309 class=net.minecraft.world.level.block.Block
createdeco:verdant_brick_slab raw_id=1435 class=net.minecraft.world.level.block.SlabBlock
createdeco:verdant_brick_stairs raw_id=1428 class=net.minecraft.world.level.block.StairBlock
createdeco:verdant_brick_wall raw_id=1442 class=net.minecraft.world.level.block.WallBlock
createdeco:verdant_bricks raw_id=1421 class=net.minecraft.world.level.block.Block
createdeco:white_shipping_container raw_id=1171 class=com.github.talrey.createdeco.blocks.ShippingContainerBlock
createdeco:yellow_andesite_lamp raw_id=1128 class=com.github.talrey.createdeco.blocks.CageLampBlock
createdeco:yellow_brass_lamp raw_id=1132 class=com.github.talrey.createdeco.blocks.CageLampBlock
createdeco:yellow_copper_lamp raw_id=1140 class=com.github.talrey.createdeco.blocks.CageLampBlock
createdeco:yellow_industrial_iron_lamp raw_id=1144 class=com.github.talrey.createdeco.blocks.CageLampBlock
createdeco:yellow_iron_lamp raw_id=1136 class=com.github.talrey.createdeco.blocks.CageLampBlock
createdeco:yellow_placard raw_id=1210 class=com.github.talrey.createdeco.blocks.DyedPlacardBlock
createdeco:yellow_shipping_container raw_id=1175 class=com.github.talrey.createdeco.blocks.ShippingContainerBlock
createdeco:yellow_zinc_lamp raw_id=1148 class=com.github.talrey.createdeco.blocks.CageLampBlock
createdeco:zinc_bars raw_id=1082 class=net.minecraft.world.level.block.IronBarsBlock
createdeco:zinc_bars_overlay raw_id=1081 class=net.minecraft.world.level.block.IronBarsBlock
createdeco:zinc_catwalk raw_id=1109 class=com.github.talrey.createdeco.blocks.CatwalkBlock
createdeco:zinc_catwalk_railing raw_id=1111 class=com.github.talrey.createdeco.blocks.CatwalkRailingBlock
createdeco:zinc_catwalk_stairs raw_id=1110 class=com.github.talrey.createdeco.blocks.CatwalkStairBlock
createdeco:zinc_coinstack raw_id=1228 class=com.github.talrey.createdeco.blocks.CoinStackBlock
createdeco:zinc_door raw_id=1168 class=net.minecraft.world.level.block.DoorBlock
createdeco:zinc_hull raw_id=1121 class=com.github.talrey.createdeco.blocks.HullBlock
createdeco:zinc_ladder raw_id=1115 class=com.simibubi.create.content.decoration.MetalLadderBlock
createdeco:zinc_mesh_fence raw_id=1088 class=com.github.talrey.createdeco.blocks.MeshFenceBlock
createdeco:zinc_sheet_metal raw_id=1157 class=com.simibubi.create.content.decoration.palettes.ConnectedPillarBlock
createdeco:zinc_support raw_id=1127 class=com.github.talrey.createdeco.blocks.SupportBlock
createdeco:zinc_support_wedge raw_id=1112 class=com.github.talrey.createdeco.blocks.SupportWedgeBlock
createdeco:zinc_trapdoor raw_id=1170 class=net.minecraft.world.level.block.TrapDoorBlock
createdeco:zinc_window raw_id=1065 class=com.simibubi.create.content.decoration.palettes.WindowBlock
createdeco:zinc_window_pane raw_id=1071 class=com.simibubi.create.content.decoration.palettes.ConnectedGlassPaneBlock
createmoredrillheads:amethyst_dusts_tipped_diamond_drill raw_id=9739 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:amethyst_dusts_tipped_golden_drill raw_id=9744 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:amethyst_dusts_tipped_iron_drill raw_id=9734 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:amethyst_dusts_tipped_netherite_drill raw_id=9749 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:amethyst_dusts_tipped_stone_drill raw_id=9729 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:amethyst_dusts_tipped_wooden_drill raw_id=9724 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:diamond_drill raw_id=9735 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:emerald_dusts_tipped_diamond_drill raw_id=9738 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:emerald_dusts_tipped_golden_drill raw_id=9743 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:emerald_dusts_tipped_iron_drill raw_id=9733 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:emerald_dusts_tipped_netherite_drill raw_id=9748 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:emerald_dusts_tipped_stone_drill raw_id=9728 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:emerald_dusts_tipped_wooden_drill raw_id=9723 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:golden_drill raw_id=9740 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:iron_drill raw_id=9730 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:netherite_drill raw_id=9745 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:quartz_dusts_tipped_diamond_drill raw_id=9737 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:quartz_dusts_tipped_golden_drill raw_id=9742 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:quartz_dusts_tipped_iron_drill raw_id=9732 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:quartz_dusts_tipped_netherite_drill raw_id=9747 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:quartz_dusts_tipped_stone_drill raw_id=9727 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:quartz_dusts_tipped_wooden_drill raw_id=9722 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:redstone_dusts_tipped_diamond_drill raw_id=9736 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:redstone_dusts_tipped_golden_drill raw_id=9741 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:redstone_dusts_tipped_iron_drill raw_id=9731 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:redstone_dusts_tipped_netherite_drill raw_id=9746 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:redstone_dusts_tipped_stone_drill raw_id=9726 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:redstone_dusts_tipped_wooden_drill raw_id=9721 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:stone_drill raw_id=9725 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createmoredrillheads:wooden_drill raw_id=9720 class=com.forsteri.createmoredrillheads.core.TieredDrillBlock
createnuclear:autunite raw_id=3593 class=net.minecraft.world.level.block.Block
createnuclear:autunite_pillar raw_id=3611 class=com.simibubi.create.content.decoration.palettes.ConnectedPillarBlock
createnuclear:cut_autunite raw_id=3594 class=net.minecraft.world.level.block.Block
createnuclear:cut_autunite_brick_slab raw_id=3604 class=net.minecraft.world.level.block.SlabBlock
createnuclear:cut_autunite_brick_stairs raw_id=3603 class=net.minecraft.world.level.block.StairBlock
createnuclear:cut_autunite_brick_wall raw_id=3605 class=net.minecraft.world.level.block.WallBlock
createnuclear:cut_autunite_bricks raw_id=3602 class=net.minecraft.world.level.block.Block
createnuclear:cut_autunite_slab raw_id=3596 class=net.minecraft.world.level.block.SlabBlock
createnuclear:cut_autunite_stairs raw_id=3595 class=net.minecraft.world.level.block.StairBlock
createnuclear:cut_autunite_wall raw_id=3597 class=net.minecraft.world.level.block.WallBlock
createnuclear:deepslate_lead_ore raw_id=3583 class=net.minecraft.world.level.block.Block
createnuclear:deepslate_uranium_ore raw_id=3589 class=net.nuclearteam.createnuclear.content.uraniumOre.UraniumOreBlock
createnuclear:enriched_soul_soil raw_id=3588 class=net.minecraft.world.level.block.Block
createnuclear:enriching_campfire raw_id=3582 class=net.nuclearteam.createnuclear.content.enriching.campfire.EnrichingCampfireBlock
createnuclear:enriching_fire raw_id=3581 class=net.nuclearteam.createnuclear.content.enriching.fire.EnrichingFireBlock
createnuclear:layered_autunite raw_id=3610 class=net.minecraft.world.level.block.Block
createnuclear:lead_block raw_id=3587 class=net.minecraft.world.level.block.Block
createnuclear:lead_ore raw_id=3584 class=net.minecraft.world.level.block.Block
createnuclear:polished_cut_autunite raw_id=3598 class=net.minecraft.world.level.block.Block
createnuclear:polished_cut_autunite_slab raw_id=3600 class=net.minecraft.world.level.block.SlabBlock
createnuclear:polished_cut_autunite_stairs raw_id=3599 class=net.minecraft.world.level.block.StairBlock
createnuclear:polished_cut_autunite_wall raw_id=3601 class=net.minecraft.world.level.block.WallBlock
createnuclear:raw_lead_block raw_id=3586 class=net.minecraft.world.level.block.Block
createnuclear:raw_uranium_block raw_id=3585 class=net.minecraft.world.level.block.Block
createnuclear:reactor_casing raw_id=3573 class=net.nuclearteam.createnuclear.content.multiblock.casing.ReactorCasing
createnuclear:reactor_controller raw_id=3579 class=net.nuclearteam.createnuclear.content.multiblock.controller.ReactorControllerBlock
createnuclear:reactor_cooler raw_id=3576 class=net.nuclearteam.createnuclear.content.multiblock.reactorCooler.ReactorCooler
createnuclear:reactor_core raw_id=3574 class=net.nuclearteam.createnuclear.content.multiblock.core.ReactorCore
createnuclear:reactor_frame raw_id=3575 class=net.nuclearteam.createnuclear.content.multiblock.frame.ReactorFrame
createnuclear:reactor_input raw_id=3577 class=net.nuclearteam.createnuclear.content.multiblock.input.ReactorInput
createnuclear:reactor_output raw_id=3578 class=net.nuclearteam.createnuclear.content.multiblock.output.ReactorOutput
createnuclear:reinforced_glass raw_id=3580 class=net.nuclearteam.createnuclear.content.multiblock.reinforced.ReinforcedGlassBlock
createnuclear:small_autunite_brick_slab raw_id=3608 class=net.minecraft.world.level.block.SlabBlock
createnuclear:small_autunite_brick_stairs raw_id=3607 class=net.minecraft.world.level.block.StairBlock
createnuclear:small_autunite_brick_wall raw_id=3609 class=net.minecraft.world.level.block.WallBlock
createnuclear:small_autunite_bricks raw_id=3606 class=net.minecraft.world.level.block.Block
createnuclear:steel_block raw_id=3591 class=net.minecraft.world.level.block.Block
createnuclear:uranium raw_id=3592 class=net.minecraft.world.level.block.LiquidBlock
createnuclear:uranium_ore raw_id=3590 class=net.nuclearteam.createnuclear.content.uraniumOre.UraniumOreBlock
createprism:andesite_clear_glass_casing raw_id=9088 class=com.adonis.prism.block.glass.GlassCasing
createprism:andesite_clear_glass_encased_cogwheel raw_id=9108 class=com.adonis.prism.block.glass.GlassEncasedCogwheel
createprism:andesite_clear_glass_encased_large_cogwheel raw_id=9117 class=com.adonis.prism.block.glass.GlassEncasedCogwheel
createprism:andesite_clear_glass_encased_shaft raw_id=9099 class=com.adonis.prism.block.glass.GlassEncasedShaft
createprism:andesite_clear_glass_scaffolding raw_id=9126 class=com.simibubi.create.content.decoration.MetalScaffoldingBlock
createprism:andesite_glass_casing raw_id=9084 class=com.adonis.prism.block.glass.GlassCasing
createprism:andesite_glass_encased_cogwheel raw_id=9105 class=com.adonis.prism.block.glass.GlassEncasedCogwheel
createprism:andesite_glass_encased_large_cogwheel raw_id=9114 class=com.adonis.prism.block.glass.GlassEncasedCogwheel
createprism:andesite_glass_encased_shaft raw_id=9096 class=com.adonis.prism.block.glass.GlassEncasedShaft
createprism:andesite_glass_scaffolding raw_id=9123 class=com.simibubi.create.content.decoration.MetalScaffoldingBlock
createprism:andesite_illumination_casing raw_id=9092 class=com.adonis.prism.block.illumination.IlluminationCasing
createprism:andesite_illumination_encased_cogwheel raw_id=9111 class=com.adonis.prism.block.illumination.IlluminationEncasedCogwheel
createprism:andesite_illumination_encased_large_cogwheel raw_id=9120 class=com.adonis.prism.block.illumination.IlluminationEncasedCogwheel
createprism:andesite_illumination_encased_shaft raw_id=9102 class=com.adonis.prism.block.illumination.IlluminationEncasedShaft
createprism:brass_clear_glass_casing raw_id=9089 class=com.adonis.prism.block.glass.GlassCasing
createprism:brass_clear_glass_encased_cogwheel raw_id=9109 class=com.adonis.prism.block.glass.GlassEncasedCogwheel
createprism:brass_clear_glass_encased_large_cogwheel raw_id=9118 class=com.adonis.prism.block.glass.GlassEncasedCogwheel
createprism:brass_clear_glass_encased_shaft raw_id=9100 class=com.adonis.prism.block.glass.GlassEncasedShaft
createprism:brass_clear_glass_scaffolding raw_id=9127 class=com.simibubi.create.content.decoration.MetalScaffoldingBlock
createprism:brass_glass_casing raw_id=9085 class=com.adonis.prism.block.glass.GlassCasing
createprism:brass_glass_encased_cogwheel raw_id=9106 class=com.adonis.prism.block.glass.GlassEncasedCogwheel
createprism:brass_glass_encased_large_cogwheel raw_id=9115 class=com.adonis.prism.block.glass.GlassEncasedCogwheel
createprism:brass_glass_encased_shaft raw_id=9097 class=com.adonis.prism.block.glass.GlassEncasedShaft
createprism:brass_glass_scaffolding raw_id=9124 class=com.simibubi.create.content.decoration.MetalScaffoldingBlock
createprism:brass_illumination_casing raw_id=9093 class=com.adonis.prism.block.illumination.IlluminationCasing
createprism:brass_illumination_encased_cogwheel raw_id=9112 class=com.adonis.prism.block.illumination.IlluminationEncasedCogwheel
createprism:brass_illumination_encased_large_cogwheel raw_id=9121 class=com.adonis.prism.block.illumination.IlluminationEncasedCogwheel
createprism:brass_illumination_encased_shaft raw_id=9103 class=com.adonis.prism.block.illumination.IlluminationEncasedShaft
createprism:copper_clear_glass_casing raw_id=9090 class=com.adonis.prism.block.glass.GlassCasing
createprism:copper_clear_glass_scaffolding raw_id=9128 class=com.simibubi.create.content.decoration.MetalScaffoldingBlock
createprism:copper_glass_casing raw_id=9086 class=com.adonis.prism.block.glass.GlassCasing
createprism:copper_glass_scaffolding raw_id=9125 class=com.simibubi.create.content.decoration.MetalScaffoldingBlock
createprism:copper_illumination_casing raw_id=9094 class=com.adonis.prism.block.illumination.IlluminationCasing
createprism:train_clear_glass_casing raw_id=9091 class=com.adonis.prism.block.glass.GlassCasing
createprism:train_clear_glass_encased_cogwheel raw_id=9110 class=com.adonis.prism.block.glass.GlassEncasedCogwheel
createprism:train_clear_glass_encased_large_cogwheel raw_id=9119 class=com.adonis.prism.block.glass.GlassEncasedCogwheel
createprism:train_clear_glass_encased_shaft raw_id=9101 class=com.adonis.prism.block.glass.GlassEncasedShaft
createprism:train_glass_casing raw_id=9087 class=com.adonis.prism.block.glass.GlassCasing
createprism:train_glass_encased_cogwheel raw_id=9107 class=com.adonis.prism.block.glass.GlassEncasedCogwheel
createprism:train_glass_encased_large_cogwheel raw_id=9116 class=com.adonis.prism.block.glass.GlassEncasedCogwheel
createprism:train_glass_encased_shaft raw_id=9098 class=com.adonis.prism.block.glass.GlassEncasedShaft
createprism:train_illumination_casing raw_id=9095 class=com.adonis.prism.block.illumination.IlluminationCasing
createprism:train_illumination_encased_cogwheel raw_id=9113 class=com.adonis.prism.block.illumination.IlluminationEncasedCogwheel
createprism:train_illumination_encased_large_cogwheel raw_id=9122 class=com.adonis.prism.block.illumination.IlluminationEncasedCogwheel
createprism:train_illumination_encased_shaft raw_id=9104 class=com.adonis.prism.block.illumination.IlluminationEncasedShaft
createrailwaysnavigator:advanced_display raw_id=3539 class=de.mrjulsen.crn.block.AdvancedDisplayBoardBlock
createrailwaysnavigator:advanced_display_block raw_id=3537 class=de.mrjulsen.crn.block.AdvancedDisplayBlock
createrailwaysnavigator:advanced_display_half_panel raw_id=3542 class=de.mrjulsen.crn.block.AdvancedDisplayHalfPanelBlock
createrailwaysnavigator:advanced_display_panel raw_id=3541 class=de.mrjulsen.crn.block.AdvancedDisplayPanelBlock
createrailwaysnavigator:advanced_display_slab raw_id=3538 class=de.mrjulsen.crn.block.AdvancedDisplaySlabBlock
createrailwaysnavigator:advanced_display_sloped raw_id=3543 class=de.mrjulsen.crn.block.AdvancedDisplaySlopedBlock
createrailwaysnavigator:advanced_display_small raw_id=3540 class=de.mrjulsen.crn.block.AdvancedDisplaySmallBlock
createrailwaysnavigator:navigator_lectern raw_id=3545 class=de.mrjulsen.crn.block.NavigatorLecternBlock
createrailwaysnavigator:train_station_clock raw_id=3544 class=de.mrjulsen.crn.block.TrainStationClockBlock
createutilities:amethyst_tiles raw_id=3808 class=net.minecraft.world.level.block.Block
createutilities:gearcube raw_id=3806 class=me.duquee.createutilities.blocks.gearcube.GearcubeBlock
createutilities:lshaped_gearbox raw_id=3807 class=me.duquee.createutilities.blocks.lgearbox.LShapedGearboxBlock
createutilities:small_amethyst_tiles raw_id=3809 class=net.minecraft.world.level.block.Block
createutilities:void_battery raw_id=3805 class=me.duquee.createutilities.blocks.voidtypes.battery.VoidBatteryBlock
createutilities:void_casing raw_id=3801 class=com.simibubi.create.content.decoration.encasing.CasingBlock
createutilities:void_chest raw_id=3803 class=me.duquee.createutilities.blocks.voidtypes.chest.VoidChestBlock
createutilities:void_motor raw_id=3802 class=me.duquee.createutilities.blocks.voidtypes.motor.VoidMotorBlock
createutilities:void_steel_bars raw_id=3800 class=net.minecraft.world.level.block.IronBarsBlock
createutilities:void_steel_block raw_id=3797 class=net.minecraft.world.level.block.Block
createutilities:void_steel_ladder raw_id=3799 class=com.simibubi.create.content.decoration.MetalLadderBlock
createutilities:void_steel_scaffolding raw_id=3798 class=com.simibubi.create.content.decoration.MetalScaffoldingBlock
createutilities:void_tank raw_id=3804 class=me.duquee.createutilities.blocks.voidtypes.tank.VoidTankBlock
cuisinedelight:cuisine_skillet raw_id=5975 class=dev.xkmc.cuisinedelight.content.block.CuisineSkilletBlock
delighto_flight:clear_cloudshroom raw_id=5907 class=com.cloudmeow.delightoflight.block.CloudshroomBlock
delighto_flight:cloud raw_id=5905 class=com.cloudmeow.delightoflight.block.CloudBlock
delighto_flight:cloud_berry_bush raw_id=5911 class=com.cloudmeow.delightoflight.block.CloudBerryBushBlock
delighto_flight:cloud_berry_pancake_tower raw_id=5913 class=com.cloudmeow.delightoflight.block.CloudBerryPancakeTowerBlock
delighto_flight:cloud_silk_bed raw_id=5910 class=com.cloudmeow.delightoflight.block.CloudSilkBedBlock
delighto_flight:cloud_silk_block raw_id=5906 class=net.minecraft.world.level.block.Block
delighto_flight:cloudshroom_colony raw_id=5919 class=com.cloudmeow.delightoflight.block.CloudshroomColonyBlock
delighto_flight:decorative_lotus_flower raw_id=5924 class=net.minecraft.world.level.block.WaterlilyBlock
delighto_flight:lotus_bud raw_id=5922 class=com.cloudmeow.delightoflight.block.LotusBudBlock
delighto_flight:lotus_flower raw_id=5923 class=com.cloudmeow.delightoflight.block.LotusFlowerBlock
delighto_flight:lotus_leaf_rice_block raw_id=5916 class=com.cloudmeow.delightoflight.block.LotusLeafRiceBlock
delighto_flight:lotus_rhizome raw_id=5921 class=com.cloudmeow.delightoflight.block.LotusRhizomeBlock
delighto_flight:mushroom_hotpot_block raw_id=5915 class=com.cloudmeow.delightoflight.block.MushroomHotpotBlock
delighto_flight:rainy_cloudshroom raw_id=5908 class=com.cloudmeow.delightoflight.block.CloudshroomBlock
delighto_flight:rooted_mud raw_id=5920 class=com.cloudmeow.delightoflight.block.RootedMudBlock
delighto_flight:thunder_cloudshroom raw_id=5909 class=com.cloudmeow.delightoflight.block.CloudshroomBlock
delighto_flight:thunder_fruit_stew_block raw_id=5914 class=com.cloudmeow.delightoflight.block.ThunderFruitStewBlock
delighto_flight:thunder_vine raw_id=5912 class=com.cloudmeow.delightoflight.block.ThunderVineBlock
delighto_flight:weather_soil raw_id=5918 class=com.cloudmeow.delightoflight.block.WeatherSoilBlock
delighto_flight:weather_soil_farmland raw_id=5917 class=com.cloudmeow.delightoflight.block.WeatherSoilFarmlandBlock
delighto_flight:wild_lotus raw_id=5925 class=com.cloudmeow.delightoflight.block.WildLotusBlock
displaydelight:acd_baked_pollock_with_carrots raw_id=7544 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:acd_bass_stew raw_id=7539 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:acd_buckling raw_id=7549 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:acd_crispy_nori_kelp raw_id=7543 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:acd_fish_and_chips raw_id=7541 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:acd_fish_chorba raw_id=7540 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:acd_halaszle raw_id=7542 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:acd_halibut_with_tartar_sauce raw_id=7548 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:acd_jellyfish_jelly raw_id=7537 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:acd_large_fish_with_vegetables raw_id=7545 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:acd_plated_catfish_barbecue raw_id=7690 class=com.jkvin114.displaydelight.block.StackablePlateFoodBlock
displaydelight:acd_poor_fisher_chowder raw_id=7536 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:acd_rollmops raw_id=7546 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:acd_small_plated_fried_perch_roll raw_id=7749 class=com.jkvin114.displaydelight.block.SmallPlatedFoodBlock
displaydelight:acd_small_plated_raw_fish_fillet_roll raw_id=7748 class=com.jkvin114.displaydelight.block.SmallPlatedFoodBlock
displaydelight:acd_tuna_spaghetti raw_id=7547 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:acd_turtle_meat_dish raw_id=7550 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:acd_unusual_fish_soup raw_id=7538 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:ad_acacia_blossom_soup raw_id=7501 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:ad_kangaroo_pasta raw_id=7503 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:ad_kangaroo_stew raw_id=7500 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:ad_lobster_pasta raw_id=7502 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:ad_maggot_salad raw_id=7499 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:ad_plated_bison_burger raw_id=7670 class=com.jkvin114.displaydelight.block.SimplePlatedFoodBlock
displaydelight:ad_plated_bunfungus_sandwich raw_id=7669 class=com.jkvin114.displaydelight.block.SimplePlatedFoodBlock
displaydelight:ad_plated_gongylidia_bruschetta raw_id=7671 class=com.jkvin114.displaydelight.block.StackablePlateFoodBlock
displaydelight:apple_cider raw_id=7453 class=com.jkvin114.displaydelight.block.DrinkBlock
displaydelight:bacon_and_eggs raw_id=7439 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:baked_cod_stew raw_id=7436 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:beef_stew raw_id=7430 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:beetroot_soup raw_id=7460 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:bnc_cheesy_pasta raw_id=7527 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:bnc_creamy_onion_soup raw_id=7528 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:bnc_fiery_fondue raw_id=7524 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:bnc_horror_lasagna raw_id=7526 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:bnc_plated_ham_and_cheese_sandwich raw_id=7691 class=com.jkvin114.displaydelight.block.SimplePlatedFoodBlock
displaydelight:bnc_scarlet_pierogi raw_id=7525 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:bnc_small_plated_quiche_slice raw_id=7745 class=com.jkvin114.displaydelight.block.SmallPlatedFoodBlock
displaydelight:bnc_vegetable_omelet raw_id=7529 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:bone_broth raw_id=7438 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:cd_corn_soup raw_id=7464 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:cd_cornbread_stuffing raw_id=7463 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:cd_creamed_corn raw_id=7465 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:cd_creamy_corn_drink raw_id=7462 class=com.jkvin114.displaydelight.block.HotDrinkBlock
displaydelight:cd_nachos_bowl raw_id=7461 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:cd_plated_classic_corn_dog raw_id=7642 class=com.jkvin114.displaydelight.block.StackablePlateFoodBlock
displaydelight:cd_plated_grilled_corn raw_id=7641 class=com.jkvin114.displaydelight.block.StackablePlateFoodBlock
displaydelight:cd_plated_taco raw_id=7643 class=com.jkvin114.displaydelight.block.StackablePlateFoodBlock
displaydelight:chicken_soup raw_id=7431 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:cooked_rice raw_id=7427 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:crd_bisque raw_id=7616 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:crd_clam_bake raw_id=7610 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:crd_clam_chowder raw_id=7615 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:crd_coconut_milk raw_id=7609 class=com.jkvin114.displaydelight.block.DrinkBlock
displaydelight:crd_coconut_pudding raw_id=7608 class=com.jkvin114.displaydelight.block.DrinkBlock
displaydelight:crd_coral_crunch raw_id=7614 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:crd_kelp_shake raw_id=7607 class=com.jkvin114.displaydelight.block.DrinkBlock
displaydelight:crd_plated_fish_stick raw_id=7716 class=com.jkvin114.displaydelight.block.SimplePlatedFoodBlock
displaydelight:crd_plated_frog_leg_kebab raw_id=7713 class=com.jkvin114.displaydelight.block.SimplePlatedFoodBlock
displaydelight:crd_plated_shrimp_skewer raw_id=7715 class=com.jkvin114.displaydelight.block.StackablePlateFoodBlock
displaydelight:crd_plated_squid_kebab raw_id=7714 class=com.jkvin114.displaydelight.block.SimplePlatedFoodBlock
displaydelight:crd_plated_stuffed_nautilus_shell raw_id=7717 class=com.jkvin114.displaydelight.block.SimplePlatedFoodBlock
displaydelight:crd_seafood_gumbo raw_id=7612 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:crd_shrimp_fried_rice raw_id=7613 class=com.jkvin114.displaydelight.block.FoodBlock
displaydelight:crd_surf_and_turf raw_id=7611 class=com.jkvin114.displaydelight.block.WideFoodBlock
displaydelight:ctd_creamed_corn raw_id=7505 class=com.jkvin114.displaydelight.block.FoodBlock
