# Registry dump
# Registry: neoforge:fluid_type
# Minecraft: 1.21.1
# Entries: 263
# Generated: 2026-06-14T13:45:01.5406753+08:00

bakeries:salt_water raw_id=261 class=com.renyigesai.bakeries.common.blocks.fluid.BakeriesFluidType
youkaishomecoming:oolong_tea raw_id=32 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:red_grape_juice raw_id=56 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:red_wine raw_id=58 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:saidi_tea raw_id=37 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:sakura_honey_tea raw_id=38 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:scarlet_mist raw_id=53 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:scarlet_tea raw_id=40 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:soy_sauce raw_id=26 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:sparrow_sake raw_id=44 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:suigei raw_id=48 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:tea_mocha raw_id=36 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:tengu_tango raw_id=51 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:van_allen raw_id=62 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:white_grape_juice raw_id=57 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:white_tea raw_id=30 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:white_wine raw_id=59 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:wind_priestesses raw_id=54 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
youkaishomecoming:yellow_tea raw_id=34 class=dev.xkmc.youkaishomecoming.content.item.fluid.YHFluidType
